GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Shane Edward,DE,29,8,204,13.8,0.519,0.197,0.408,4.3,25.1,14.8,2.2,0.2,3.4,10.0,20.5,,0.0,0.2,0.3,0.063,,,,,
Henry Ellenso,GR,20,21,740,15.3,0.535,0.380,0.338,4.6,22.3,13.2,5.8,0.8,2.1,10.2,22.5,,0.6,0.7,1.3,0.082,,,,,
Perry Elli,SW,23,50,1122,15.1,0.548,0.276,0.296,7.9,15.3,11.6,6.5,1.3,0.6,7.8,18.5,,1.7,0.6,2.3,0.098,,,,,
Christopher Evan,CA,26,33,1137,16.3,0.554,0.346,0.379,6.1,10.6,8.3,10.3,2.7,1.5,12.9,22.4,,1.3,1.4,2.7,0.116,,,,,
Kay Felde,CA,21,11,396,22.9,0.562,0.216,0.337,2.2,8.2,5.2,30.7,2.1,0.8,13.6,36.0,,0.7,0.4,1.1,0.136,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Cristiano Felici,WC,24,1,38,14.7,0.549,0.000,0.313,13.8,19.8,16.8,4.3,1.3,4.3,24.8,27.1,,-0.1,0.1,0.0,0.001,,,,,
Carrick Feli,LI,26,34,780,10.9,0.500,0.302,0.340,5.7,12.4,8.9,8.7,2.4,1.6,14.7,18.6,,-0.2,0.8,0.6,0.036,,,,,
Courtney Fell,TOT,30,40,1203,13.2,0.533,0.489,0.127,2.1,12.7,7.2,13.1,3.0,1.9,14.9,17.5,,0.3,1.3,1.6,0.062,,,,,
Courtney Fell,TE,30,10,279,9.9,0.465,0.500,0.024,2.3,8.8,5.5,7.7,3.8,1.7,11.7,13.7,,-0.1,0.2,0.2,0.026,,,,,
